num_ligne;Année;Code académie;Nom académie;Discipline;IPS moyen;Caractéristique;Score moyen;Ecart type;groupe 1;groupe 2;groupe 3;groupe 4;groupe 5;groupe 6
453;2021;15;STRASBOURG;Français;114.6;Garçon;267.1;41.5;3.2;10.8;21.2;25.6;18.9;20.3
456;2021;15;STRASBOURG;Mathématiques;114.6;Garçon;268.0;51.0;6.4;12.4;19.7;21.2;16.1;24.2
467;2021;17;NANTES;Mathématiques;118.8;Fille;259.9;43.9;6.1;14.3;23.3;23.4;15.9;16.9
470;2021;18;ORLEANS-TOURS;Français;114.9;Fille;277.6;42.0;1.7;6.6;17.7;24.5;21.5;28.0
477;2021;19;REIMS;Français;109.5;Garçon;264.6;41.0;4.1;10.9;21.9;26.0;18.2;19.0
481;2021;20;AMIENS;Français;109.2;Ensemble;266.7;41.8;3.2;11.2;22.5;24.5;18.7;19.9
484;2021;20;AMIENS;Mathématiques;109.2;Ensemble;245.0;44.9;13.8;21.3;23.8;18.5;11.3;11.3
494;2021;23;NICE;Français;115.9;Fille;276.5;42.8;2.1;7.6;17.8;24.4;21.0;27.1
499;2021;24;CRETEIL;Français;107.8;Ensemble;263.8;43.7;5.4;12.5;21.3;23.6;17.6;19.7
502;2021;24;CRETEIL;Mathématiques;107.8;Ensemble;240.2;49.0;19.5;21.0;21.7;16.4;10.0;11.4
504;2021;24;CRETEIL;Mathématiques;107.8;Garçon;247.2;51.2;15.7;19.2;21.4;17.3;11.7;14.7
507;2021;25;VERSAILLES;Français;123.1;Garçon;268.5;45.6;5.3;10.7;19.0;22.7;18.8;23.6
508;2021;25;VERSAILLES;Mathématiques;123.1;Ensemble;257.4;54.1;12.6;16.5;19.7;17.6;13.5;20.2
516;2021;27;CORSE;Mathématiques;110.3;Garçon;246.5;44.7;12.6;19.7;24.1;20.2;12.3;11.1
558;2021;;NATIONAL;Mathématiques;115.2;Garçon;264.0;51.9;8.5;13.5;20.0;20.3;15.4;22.4
563;2022;01;PARIS;Mathématiques;132.1;Fille;272.3;58.9;9.7;11.9;16.0;16.7;14.7;30.9
564;2022;01;PARIS;Mathématiques;132.1;Garçon;288.6;62.9;6.5;7.9;13.8;15.6;15.5;40.7
568;2022;02;AIX-MARSEILLE;Mathématiques;114.3;Ensemble;252.9;50.6;13.0;16.8;21.7;18.9;13.0;16.6
570;2022;02;AIX-MARSEILLE;Mathématiques;114.3;Garçon;261.3;52.3;9.8;13.8;20.3;20.0;15.1;21.0
585;2022;06;CLERMONT-FERRAND;Français;114.3;Garçon;272.6;42.1;2.8;8.4;19.1;24.1;20.9;24.7
590;2022;07;DIJON;Français;112.5;Fille;273.1;41.2;2.2;8.6;19.2;23.6;21.2;25.1
591;2022;07;DIJON;Français;112.5;Garçon;266.0;41.4;3.8;11.1;21.7;24.3;19.7;19.4
594;2022;07;DIJON;Mathématiques;112.5;Garçon;265.1;49.8;7.4;12.7;20.0;21.1;16.8;22.0
596;2022;08;GRENOBLE;Français;118.3;Fille;277.8;41.7;1.8;6.7;17.2;24.0;21.5;28.7
603;2022;09;LILLE;Français;109.5;Garçon;260.4;41.8;5.3;14.1;23.6;23.0;17.0;17.0
605;2022;09;LILLE;Mathématiques;109.5;Fille;244.5;45.3;14.9;20.7;22.9;18.7;11.3;11.5
611;2022;10;LYON;Mathématiques;117.5;Fille;255.2;50.4;11.8;16.5;20.9;19.5;13.8;17.6
615;2022;11;MONTPELLIER;Français;112.8;Garçon;263.9;41.9;4.4;12.3;22.0;23.9;18.2;19.2
616;2022;11;MONTPELLIER;Mathématiques;112.8;Ensemble;253.1;48.9;11.7;17.2;22.2;19.7;13.5;15.8
620;2022;12;NANCY-METZ;Français;110.4;Fille;273.5;40.9;1.9;8.1;19.4;24.9;21.3;24.4
624;2022;12;NANCY-METZ;Mathématiques;110.4;Garçon;267.6;50.0;6.2;12.7;20.0;20.6;17.2;23.4
625;2022;13;POITIERS;Français;115.4;Ensemble;270.6;40.6;2.5;9.6;20.2;24.0;20.4;23.3
627;2022;13;POITIERS;Français;115.4;Garçon;267.3;40.8;3.4;10.9;21.2;23.8;19.1;21.6
631;2022;14;RENNES;Français;119.3;Ensemble;276.1;40.3;1.6;7.0;17.8;25.0;22.3;26.4
637;2022;15;STRASBOURG;Français;112.5;Ensemble;270.2;42.1;3.2;9.9;19.7;23.9;19.9;23.4
644;2022;16;TOULOUSE;Français;120.0;Fille;278.2;41.9;1.9;6.9;17.0;23.3;21.8;29.2
645;2022;16;TOULOUSE;Français;120.0;Garçon;270.9;42.8;3.3;9.7;19.5;23.2;20.2;24.0
647;2022;16;TOULOUSE;Mathématiques;120.0;Fille;257.5;48.8;9.6;16.1;21.9;19.6;14.9;18.0
650;2022;17;NANTES;Français;118.6;Fille;278.7;40.2;1.4;6.0;16.5;24.7;22.9;28.5
655;2022;18;ORLEANS-TOURS;Français;113.8;Ensemble;271.4;41.3;2.5;9.1;19.7;25.1;20.0;23.7
660;2022;18;ORLEANS-TOURS;Mathématiques;113.8;Garçon;266.1;49.8;6.5;13.1;20.6;21.3;16.2;22.4
663;2022;19;REIMS;Français;108.1;Garçon;266.2;41.8;4.0;11.2;21.1;24.4;18.9;20.5
667;2022;20;AMIENS;Français;108.9;Ensemble;263.8;41.0;3.7;12.7;22.7;24.5;18.1;18.2
671;2022;20;AMIENS;Mathématiques;108.9;Fille;239.3;44.1;17.8;22.0;24.1;16.9;10.1;9.2
674;2022;22;LIMOGES;Français;113.7;Fille;276.7;40.5;1.7;6.1;19.0;24.4;21.4;27.3
678;2022;22;LIMOGES;Mathématiques;113.7;Garçon;264.7;49.1;6.2;12.9;21.8;21.4;17.6;20.2
684;2022;23;NICE;Mathématiques;113.9;Garçon;265.6;51.8;8.1;12.7;19.8;20.4;16.0;23.0
690;2022;24;CRETEIL;Mathématiques;106.9;Garçon;249.0;54.0;16.7;17.6;19.7;17.4;11.8;16.7
700;2022;27;CORSE;Mathématiques;110.1;Ensemble;245.6;46.0;14.7;20.5;21.8;18.8;12.0;12.3
701;2022;27;CORSE;Mathématiques;110.1;Fille;238.4;43.2;18.0;22.5;22.6;18.3;10.0;8.7
